signal_date,planned_entry_date,actual_entry_date,entry_price_source,trade_date,stock_id,stock_name,entry_price,entry_price_raw,slippage_rate,shares,original_shares,remaining_shares,position_value,entry_slippage,buy_slippage_cost,entry_commission,buy_commission,exit_price,exit_price_raw,exit_slippage,sell_slippage_cost,exit_commission,sell_commission,exit_tax,sell_tax,total_cost,realized_pnl_after_cost,realized_pnl_pct_after_cost,last_exit_realized_pnl_after_cost,partial_exit_1_done,partial_exit_2_done,highest_price_since_entry,highest_pnl_pct_since_entry,trailing_stop_price,stop_loss_price,suggested_position_pct,status,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,holding_days,stop_loss_hit,exit_date,realized_pnl,realized_pnl_pct,exit_reason
,,,,2026-05-08,3528,安馳,91.0,91.0,0.0,1098,1098.0,1098.0,99918.0,,0.0,0.0,0.0,82.4175,82.5,0.0825,0.0,128.95,128.95,271.48,271.48,491.01,-9824.01,-0.098321,0.0,False,False,91.0,0.0,,85.39,0.1,CLOSED,82.5,0.0,0.0,0.0,3.0,True,2026-05-11,-9824.01,-0.098321,STOP_LOSS
,,,,2026-05-08,3033,威健,43.85,43.85,0.0,2280,2280.0,2280.0,99978.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,44.45,0.013683,,40.6,0.1,OPEN,44.45,101346.0,1368.0,0.013683,4.0,False,,,,
,,,,2026-05-08,2376,技嘉,317.0,317.0,0.0,315,315.0,315.0,99855.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,321.0,0.012618,,293.43,0.1,OPEN,321.0,101115.0,1260.0,0.012618,4.0,False,,,,
,,,,2026-05-08,3416,融程電,175.5,175.5,0.0,569,569.0,569.0,99859.5,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,175.5,0.0,,163.0,0.1,OPEN,170.5,97014.5,-2845.0,-0.02849,4.0,False,,,,
,,,,2026-05-08,00891,中信關鍵半導體,34.19,34.19,0.0,2924,2924.0,2924.0,99971.56,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,35.19,0.029248,,32.27,0.1,OPEN,35.19,102895.56,2924.0,0.029248,4.0,False,,,,
,,,,2026-05-08,6206,飛捷,119.0,119.0,0.0,840,840.0,420.0,49980.0,,0.0,0.0,0.0,139.86,140.0,0.14,58.8,83.71,83.71,176.22,176.22,318.73,8501.27,0.085047,0.0,True,False,140.0,0.176471,131.6,110.93,0.1,OPEN,140.0,58800.0,8820.0,0.176471,4.0,False,2026-05-12,8501.27,0.085047,TAKE_PROFIT_1
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,00947,台新臺灣IC設計,38.6987,38.660000000000004,0.0,2584,2584.0,2584.0,99997.44,0.0387,100.0,142.5,142.5,,,,0.0,,0.0,,0.0,242.5,0.0,,0.0,False,False,38.6987,0.0,,35.19,0.1,OPEN,37.49,96874.16,-3123.28,-0.031234,0.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,2855,統一證,43.7437,43.699999999999996,0.0,2286,2286.0,2286.0,99998.1,0.0437,99.9,142.5,142.5,,,,0.0,,0.0,,0.0,242.4,0.0,,0.0,False,False,43.7437,0.0,,40.86,0.1,OPEN,41.8,95554.8,-4443.3,-0.044434,0.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,8213,志超,43.8438,43.800000000000004,0.0,2280,2280.0,2280.0,99963.86,0.0438,99.86,142.45,142.45,,,,0.0,,0.0,,0.0,242.31,0.0,,0.0,False,False,43.8438,0.0,,39.11,0.1,OPEN,41.2,93936.0,-6027.86,-0.0603,0.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,5258,虹堡,54.5545,54.5,0.0,1833,1833.0,1833.0,99998.4,0.0545,99.9,142.5,142.5,,,,0.0,,0.0,,0.0,242.4,0.0,,0.0,False,False,54.5545,0.0,,50.35,0.1,OPEN,53.2,97515.6,-2482.8,-0.024828,0.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,2357,華碩,686.686,686.0,0.0,130,130.0,130.0,89269.18,0.686,89.18,127.21,127.21,,,,0.0,,0.0,,0.0,216.39,0.0,,0.0,False,False,686.686,0.0,,644.43,0.1,OPEN,673.0,87490.0,-1779.18,-0.019931,0.0,False,,,,
